"Entity","Code","Day","Delta","month","year","day","week"
"United Kingdom","GBR","2021-02-08",2e-04,"02","2021","08",0
"United Kingdom","GBR","2021-02-22",1e-04,"02","2021","22",2
"United Kingdom","GBR","2021-03-08",1e-04,"03","2021","08",4
"United Kingdom","GBR","2021-03-22",1e-04,"03","2021","22",6
"United Kingdom","GBR","2021-04-05",9e-04,"04","2021","05",8
"United Kingdom","GBR","2021-04-19",0.016,"04","2021","19",10
"United Kingdom","GBR","2021-05-03",0.0915,"05","2021","03",12
"United Kingdom","GBR","2021-05-17",0.3361,"05","2021","17",14
"United Kingdom","GBR","2021-05-31",0.7325,"05","2021","31",16
"United Kingdom","GBR","2021-06-14",0.9034,"06","2021","14",18
"United Kingdom","GBR","2021-06-28",0.981,"06","2021","28",20
"United Kingdom","GBR","2021-07-12",0.9928,"07","2021","12",22
"United Kingdom","GBR","2021-07-26",0.9968,"07","2021","26",24
"United Kingdom","GBR","2021-08-09",0.9973,"08","2021","09",26
"United Kingdom","GBR","2021-08-23",0.9995,"08","2021","23",28
"United Kingdom","GBR","2021-09-06",0.9994,"09","2021","06",30
"United Kingdom","GBR","2021-09-20",0.9999,"09","2021","20",32
